,m_ticker,ticker,comp_name,comp_name_2,exchange,currency_code,per_end_date,per_type,per_code,per_fisc_year,per_fisc_qtr,per_cal_year,per_cal_qtr,data_type_ind,filing_type,qtr_nbr,fye_month,comp_cik,per_len,sic_code,filing_date,last_changed_date,state_incorp_name,bus_address_line_1,bus_city,bus_state_name,bus_post_code,bus_phone_nbr,bus_fax_nbr,mail_address_line_1,mail_city,mail_state_name,mail_post_code,country_name,country_code,home_exchange_name,emp_cnt,emp_pt_cnt,emp_ft_cnt,emp_other_cnt,comm_share_holder,auditor,auditor_opinion,comp_url,email_addr,nbr_shares_out,shares_out_date,officer_name_1,officer_title_1,officer_name_2,officer_title_2,officer_name_3,officer_title_3,officer_name_4,officer_title_4,officer_name_5,officer_title_5,rpt_0_date,tot_revnu,cost_good_sold,gross_profit,tot_deprec_amort,int_exp_oper,int_invst_income_oper,res_dev_exp,in_proc_res_dev_exp_aggr,tot_sell_gen_admin_exp,rental_exp_ind_broker,pension_post_retire_exp,other_oper_income_exp,tot_oper_exp,oper_income,non_oper_int_exp,int_cap,asset_wdown_impair_aggr,restruct_charge,merger_acq_income_aggr,rental_income,spcl_unusual_charge,impair_goodwill,litig_aggr,gain_loss_sale_asset_aggr,gain_loss_sale_invst_aggr,stock_div_subsid,income_loss_equity_invst_other,pre_tax_minority_int,int_invst_income,other_non_oper_income_exp,tot_non_oper_income_exp,pre_tax_income,tot_provsn_income_tax,income_aft_tax,minority_int,equity_earn_subsid,invst_gain_loss_other,other_income,income_cont_oper,income_discont_oper,income_bef_exord_acct_change,exord_income_loss,cumul_eff_acct_change,consol_net_income_loss,non_ctl_int,net_income_parent_comp,pref_stock_div_other_adj,net_income_loss_share_holder,eps_basic_cont_oper,eps_basic_discont_oper,eps_basic_acct_change,eps_basic_extra,eps_basic_consol,eps_basic_parent_comp,basic_net_eps,eps_diluted_cont_oper,eps_diluted_discont_oper,eps_diluted_acct_change,eps_diluted_extra,eps_diluted_consol,eps_diluted_parent_comp,diluted_net_eps,dilution_factor,avg_d_shares,avg_b_shares,norm_pre_tax_income,norm_aft_tax_income,ebitda,ebit,rpt_1_date,cash_sterm_invst,note_loan_rcv,rcv_est_doubt,rcv_tot,invty,prepaid_expense,def_charge_curr,def_tax_asset_curr,asset_discont_oper_curr,other_curr_asset,tot_curr_asset,gross_prop_plant_equip,tot_accum_deprec,net_prop_plant_equip,net_real_estate_misc_prop,cap_software,lterm_invst,adv_dep,lterm_rcv,invty_lterm,goodwill_intang_asset_tot,def_charge_non_curr,def_tax_asset_lterm,asset_discont_oper_lterm,pension_post_retire_asset,other_lterm_asset,tot_lterm_asset,tot_asset,note_pay,acct_pay,div_pay,other_pay,accrued_exp,other_accrued_exp,curr_portion_debt,curr_portion_cap_lease,curr_portion_tax_pay,defer_revnu_curr,defer_tax_liab_curr,liab_discont_oper_curr,other_curr_liab,tot_curr_liab,tot_lterm_debt,defer_revnu_non_curr,pension_post_retire_liab,defer_tax_liab_lterm,mand_redeem_pref_sec_subsid,pref_stock_liab,min_int,liab_disc_oper_lterm,other_non_curr_liab,tot_lterm_liab,tot_liab,tot_pref_stock,comm_stock_net,addtl_paid_in_cap,retain_earn_accum_deficit,equity_equiv,treas_stock,compr_income,def_compsn,other_share_holder_equity,tot_comm_equity,tot_share_holder_equity,tot_liab_share_holder_equity,comm_shares_out,pref_stock_shares_out,tang_stock_holder_equity,rpt_2_date,net_income_loss,tot_deprec_amort_cash_flow,other_non_cash_item,tot_non_cash_item,change_acct_rcv,change_invty,change_acct_pay,change_acct_pay_accrued_liab,change_income_tax,change_asset_liab,tot_change_asset_liab,oper_activity_other,cash_flow_oper_activity,net_change_prop_plant_equip,net_change_intang_asset,net_acq_divst,net_change_sterm_invst,net_change_lterm_invst,net_change_invst_tot,invst_activity_other,cash_flow_invst_activity,net_lterm_debt,net_curr_debt,debt_issue_retire_net_tot,net_comm_equity_issued_repurch,net_pref_equity_issued_repurch,net_tot_equity_issued_repurch,tot_comm_pref_stock_div_paid,fin_activity_other,cash_flow_fin_activity,fgn_exchange_rate_adj,disc_oper_misc_cash_flow_adj,incr_decr_cash,beg_cash,end_cash,stock_based_compsn,comm_stock_div_paid,pref_stock_div_paid,tot_deprec_amort_qd,stock_based_compsn_qd,cash_flow_oper_activity_qd,net_change_prop_plant_equip_qd,comm_stock_div_paid_qd,pref_stock_div_paid_qd,tot_comm_pref_stock_div_qd,wavg_shares_out,wavg_shares_out_diluted,eps_basic_net,eps_diluted_net
0,AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,2018-09-30,A,,2018,4,2018,3,F,10-K,2018,9,320193,12,3571,2018-11-05,2018-11-05,CA,ONE APPLE PARK WAY,CUPERTINO,CA,95014,408-996-1010,,ONE APPLE PARK WAY,CUPERTINO,CA,95014,UNITED STATES,X1,,132000.0,,132000.0,,23712.0,Ernst & Young LLP,Fair,www.apple.com,paxton1@apple.com,18981590000,2018-10-26,Timothy D. Cook,Chief Executive Officer and Director,Luca Maestri,"Senior Vice President, Chief Financial Officer",Chris Kondo,Senior Director of Corporate Accounting,James A. Bell,Director,Al Gore,Director,2020-10-30,265595.0,163756.0,101839.0,,,,14236.0,,16705.0,,,,194697.0,70898.0,,,,,,,,,,,,,,,,2005.0,2005.0,72903.0,13372.0,59531.0,,,,,59531.0,,59531.0,,,59531.0,,59531.0,,59531.0,3.0034,,,,3.0034,3.0034,3.0025,2.9765,,,,2.9765,2.9765,2.9775,70.2969,20000.44,19821.51,72903.0,59531.0,81801.0,70898.0,2019-10-31,66301.0,,,48995.0,3956.0,,,,,12087.0,131339.0,90403.0,49099.0,41304.0,,,170799.0,,,,,,,,,22283.0,234386.0,365725.0,,55888.0,,,,,20748.0,,,5966.0,,,33327.0,115929.0,93735.0,,,,,,,,48914.0,142649.0,258578.0,,40201.0,,70400.0,,,-3454.0,,,107147.0,107147.0,365725.0,19019.94,,107147.0,2020-10-30,59531.0,10903.0,-27694.0,-16791.0,-5322.0,828.0,9175.0,,,30013.0,34694.0,,77434.0,-13313.0,,-721.0,32363.0,-1518.0,30845.0,-745.0,16066.0,469.0,-37.0,432.0,-72069.0,,-72069.0,-13712.0,-2527.0,-87876.0,,,5624.0,20289.0,25913.0,5340.0,-13712.0,,,,,,,,,19821.51,20000.44,3.0,2.98
1,AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,2018-03-31,Q,,2018,2,2018,1,F,10-Q,201802,9,320193,3,3571,2018-05-02,2018-05-02,CA,ONE APPLE PARK WAY,CUPERTINO,CA,95014,408-996-1010,,ONE APPLE PARK WAY,CUPERTINO,CA,95014,UNITED STATES,X1,,,,,,,,,www.apple.com,paxton1@apple.com,19660550000,2018-04-20,,,,,,,,,,,2019-05-01,61137.0,37715.0,23422.0,,,,3378.0,,4150.0,,,,45243.0,15894.0,,,,,,,,,,,,,,,,274.0,274.0,16168.0,2346.0,13822.0,,,,,13822.0,,13822.0,,,13822.0,,13822.0,,13822.0,0.6877,,,,0.6877,0.6877,0.6875,0.6818,,,,0.6818,0.6818,0.6825,14.9863,20273.97,20099.51,16168.0,13822.0,18633.0,15894.0,2018-05-02,87940.0,,,22408.0,7662.0,,,,,12043.0,130053.0,80502.0,45425.0,35077.0,,,179286.0,,,,,,,,,23086.0,237449.0,367502.0,,34311.0,,,26756.0,,20478.0,,,7775.0,,,,89320.0,101362.0,3087.0,,,,,,,46855.0,151304.0,240624.0,,38044.0,,91898.0,,,-3064.0,,,126878.0,126878.0,367502.0,19773.13,,126878.0,2019-05-01,33887.0,5484.0,-31742.0,-26258.0,3523.0,-2807.0,-12004.0,,,47082.0,35794.0,,43423.0,-7005.0,,-305.0,22377.0,-163.0,22214.0,216.0,15120.0,6469.0,,6469.0,-32524.0,,-32524.0,-6529.0,-1189.0,-33773.0,,,24770.0,20289.0,45059.0,2644.0,-6529.0,,2739.0,1348.0,15130.0,-4195.0,-3190.0,,-3190.0,20099.51,20273.97,0.6875,0.6825
2,AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,2018-06-30,Q,,2018,3,2018,2,F,10-Q,201803,9,320193,3,3571,2018-08-01,2018-08-01,CA,ONE APPLE PARK WAY,CUPERTINO,CA,95014,408-996-1010,,ONE APPLE PARK WAY,CUPERTINO,CA,95014,UNITED STATES,X1,,,,,,,,,www.apple.com,paxton1@apple.com,19319700000,2018-07-20,,,,,,,,,,,2019-07-31,53265.0,32844.0,20421.0,,,,3701.0,,4108.0,,,,40653.0,12612.0,,,,,,,,,,,,,,,,672.0,672.0,13284.0,1765.0,11519.0,,,,,11519.0,,11519.0,,,11519.0,,11519.0,,11519.0,0.5899,,,,0.5899,0.5899,0.59,0.5845,,,,0.5845,0.5845,0.585,9.2646,19706.44,19528.67,13284.0,11519.0,15277.0,12612.0,2018-08-01,70970.0,,,26367.0,5936.0,,,,,12488.0,115761.0,85368.0,47251.0,38117.0,,,172773.0,,,,,,,,,22546.0,233436.0,349197.0,,38489.0,,,25184.0,,17472.0,,,7403.0,,,,88548.0,97128.0,2878.0,,,,,,,45694.0,145700.0,234248.0,,38624.0,,79436.0,,,-3111.0,,,114949.0,114949.0,349197.0,19371.67,,114949.0,2019-07-31,45406.0,8149.0,-29524.0,-21375.0,3756.0,-1114.0,-10410.0,,,41648.0,33880.0,,57911.0,-10272.0,,-431.0,31771.0,-1478.0,30293.0,-523.0,19067.0,469.0,-10.0,459.0,-53306.0,,-53306.0,-10182.0,-2267.0,-65296.0,,,11682.0,20289.0,31971.0,3995.0,-10182.0,,2665.0,1351.0,14488.0,-3267.0,-3653.0,,-3653.0,19528.67,19706.44,0.59,0.585
3,AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,2018-09-30,Q,,2018,4,2018,3,F,10-Q,201804,9,320193,3,3571,2018-11-05,2018-11-05,CA,ONE APPLE PARK WAY,CUPERTINO,CA,95014,408-996-1010,,ONE APPLE PARK WAY,CUPERTINO,CA,95014,UNITED STATES,X1,,132000.0,,132000.0,,23712.0,Ernst & Young LLP,Fair,www.apple.com,paxton1@apple.com,18981590000,2018-10-26,Timothy D. Cook,Chief Executive Officer and Director,Luca Maestri,"Senior Vice President, Chief Financial Officer",Chris Kondo,Senior Director of Corporate Accounting,James A. Bell,Director,Al Gore,Director,2020-10-30,62900.0,38816.0,24084.0,,,,3750.0,,4216.0,,,,46782.0,16118.0,,,,,,,,,,,,,,,,303.0,303.0,16421.0,2296.0,14125.0,,,,,14125.0,,14125.0,,,14125.0,,14125.0,,14125.0,0.7447,,,,0.7447,0.7447,0.735,0.7376,,,,0.7376,0.7376,0.7275,47.2529,19390.19,19206.36,16421.0,14125.0,18872.0,16118.0,2019-10-31,66301.0,,,48995.0,3956.0,,,,,12087.0,131339.0,90403.0,49099.0,41304.0,,,170799.0,,,,,,,,,22283.0,234386.0,365725.0,,55888.0,,,,,20748.0,,,5966.0,,,33327.0,115929.0,93735.0,,,,,,,,48914.0,142649.0,258578.0,,40201.0,,70400.0,,,-3454.0,,,107147.0,107147.0,365725.0,19019.94,,107147.0,2020-10-30,59531.0,10903.0,-27694.0,-16791.0,-5322.0,828.0,9175.0,,,30013.0,34694.0,,77434.0,-13313.0,,-721.0,32363.0,-1518.0,30845.0,-745.0,16066.0,469.0,-37.0,432.0,-72069.0,,-72069.0,-13712.0,-2527.0,-87876.0,,,5624.0,20289.0,25913.0,5340.0,-13712.0,,2754.0,1345.0,19523.0,-3041.0,-3530.0,,-3530.0,19821.51,20000.44,0.7425,0.74
4,AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,2018-12-31,Q,,2019,1,2018,4,F,10-Q,201901,9,320193,3,3571,2019-01-30,2019-01-30,CA,ONE APPLE PARK WAY,CUPERTINO,CA,95014,408-996-1010,,ONE APPLE PARK WAY,CUPERTINO,CA,95014,UNITED STATES,X1,,,,,,,,,www.apple.com,paxton1@apple.com,18861120000,2019-01-18,,,,,,,,,,,2020-01-29,84310.0,52279.0,32031.0,,,,3902.0,,4783.0,,,,60964.0,23346.0,,,,,,,,,,,,,,,,560.0,560.0,23906.0,3941.0,19965.0,,,,,19965.0,,19965.0,,,19965.0,,19965.0,,19965.0,1.0539,,,,1.0539,1.0539,1.055,1.0457,,,,1.0457,1.0457,1.045,-12.8086,19093.01,18943.28,23906.0,19965.0,26741.0,23346.0,2019-01-30,86427.0,,,36981.0,4988.0,,,,,12432.0,140828.0,91526.0,51929.0,39597.0,,,158608.0,,,,,,,,,34686.0,232891.0,373719.0,,44293.0,,,,,21741.0,,,5546.0,,,36703.0,108283.0,92989.0,,,,,,,,54555.0,147544.0,255827.0,,40970.0,,80510.0,,,-3588.0,,,117892.0,117892.0,373719.0,18919.21,,117892.0,2020-01-29,19965.0,3395.0,1558.0,4953.0,5130.0,-1076.0,-8501.0,,,6219.0,1772.0,,26690.0,-3355.0,,-167.0,9849.0,-427.0,9422.0,-56.0,5844.0,,6.0,6.0,-8796.0,,-8796.0,-3568.0,-1318.0,-13676.0,,,18858.0,25913.0,44771.0,1559.0,-3568.0,,3395.0,1559.0,26690.0,-3355.0,-3568.0,,-3568.0,18943.28,19093.01,1.055,1.045
5,AXP,AXP,AMER EXPRESS CO,American Express Company,NYSE,USD,2018-12-31,A,,2018,4,2018,4,F,10-K,2018,12,4962,12,6199,2019-02-13,2019-02-13,NY,200 VESEY STREET,NEW YORK,NY,10285,212-640-2000,212-640-0404,200 VESEY STREET,NEW YORK,NY,10285,UNITED STATES,X1,,59000.0,,59000.0,,21078.0,PricewaterhouseCoopers LLP,Fair,www.americanexpress.com,IR@aexp.com,843368600,2019-02-04,Stephen J. Squeri,"Chief Executive Officer,Chairman and Director",Richard Petrino,Executive Vice President and Corporate Controller,Jeffrey C. Campbell,Chief Financial Officer,Charlene Barshefsky,Director,John J. Brennan,Director,2021-02-12,43281.0,2943.0,40338.0,,,,,,32216.0,,,,35159.0,8122.0,,,,,,,,,,,,,,,,,,8122.0,1201.0,6921.0,,,,,6921.0,,6921.0,,,6921.0,,6921.0,134.0,6787.0,8.0853,,,,8.0853,8.0853,7.93,8.057,,,,8.057,8.057,7.91,7.6899,859.0,856.0,8122.0,6921.0,,,2020-02-13,27445.0,138716.0,,,,,,,,,166161.0,,,4416.0,,,4647.0,,,,,,,,,13378.0,22441.0,188602.0,3100.0,82215.0,,,,,,,,,,,,85315.0,58423.0,,,,,,,,22574.0,80997.0,166312.0,,170.0,12218.0,12499.0,,,-2597.0,,,22290.0,22290.0,188602.0,847.0,0.0016,22290.0,2021-02-12,6921.0,1293.0,4090.0,5383.0,,,-4365.0,,,991.0,-3374.0,,8930.0,-1310.0,,-520.0,,-1931.0,-1931.0,-15854.0,-19615.0,2629.0,-148.0,2481.0,-1598.0,,-1598.0,-1324.0,5542.0,5101.0,129.0,,-5455.0,33263.0,27808.0,283.0,-1324.0,,,,,,,,,856.0,859.0,7.93,7.91
6,AXP,AXP,AMER EXPRESS CO,American Express Company,NYSE,USD,2018-03-31,Q,,2018,1,2018,1,F,10-Q,201801,12,4962,3,6199,2018-04-25,2018-04-25,NY,200 VESEY STREET,NEW YORK,NY,10285,212-640-2000,212-640-0404,200 VESEY STREET,NEW YORK,NY,10285,UNITED STATES,X1,,,,,,,,,www.americanexpress.com,IR@aexp.com,860362200,2018-04-18,,,,,,,,,,,2019-04-23,10339.0,621.0,9718.0,,,,,,7636.0,,,,8257.0,2082.0,,,,,,,,,,,,,,,,,,2082.0,448.0,1634.0,,,,,1634.0,,1634.0,,,1634.0,,1634.0,34.0,1600.0,1.9022,,,,1.9022,1.9022,1.86,1.8978,,,,1.8978,1.8978,1.86,1.46,861.0,859.0,2082.0,1634.0,,,2018-04-25,31092.0,130776.0,,,,,,,,,161868.0,,,4271.0,,,3388.0,,,,,,,,,10429.0,18088.0,179956.0,4287.0,80703.0,,,,,,,,,,,,84990.0,52461.0,,,,,,,,22892.0,75353.0,160343.0,,172.0,12225.0,9597.0,,,-2381.0,,,19613.0,19613.0,179956.0,860.0,0.002,19613.0,2019-04-23,1634.0,348.0,605.0,953.0,122.0,,-431.0,,,-215.0,-524.0,,2063.0,-237.0,,-475.0,,-329.0,-329.0,348.0,-693.0,-3219.0,-1489.0,-4708.0,-123.0,,-123.0,-324.0,2206.0,-2949.0,-178.0,,-1757.0,33263.0,31506.0,84.0,-324.0,,348.0,84.0,2063.0,-237.0,-324.0,,-324.0,859.0,861.0,1.86,1.86
7,AXP,AXP,AMER EXPRESS CO,American Express Company,NYSE,USD,2018-06-30,Q,,2018,2,2018,2,F,10-Q,201802,12,4962,3,6199,2018-07-24,2018-07-24,NY,200 VESEY STREET,NEW YORK,NY,10285,212-640-2000,212-640-0404,200 VESEY STREET,NEW YORK,NY,10285,UNITED STATES,X1,,,,,,,,,www.americanexpress.com,IR@aexp.com,861054300,2018-07-18,,,,,,,,,,,2019-07-23,10713.0,711.0,10002.0,,,,,,7911.0,,,,8622.0,2091.0,,,,,,,,,,,,,,,,,,2091.0,468.0,1623.0,,,,,1623.0,,1623.0,,,1623.0,,1623.0,32.0,1591.0,1.8872,,,,1.8872,1.8872,1.85,1.8828,,,,1.8828,1.8828,1.84,-4.9199,862.0,860.0,2091.0,1623.0,,,2018-07-24,29743.0,134352.0,,,,,,,,,164095.0,,,4251.0,,,4753.0,,,,,,,,,11762.0,20766.0,184861.0,4194.0,81191.0,,,,,,,,,,,,85385.0,55883.0,,,,,,,,22701.0,78584.0,163969.0,,173.0,12306.0,10896.0,,,-2483.0,,,20892.0,20892.0,184861.0,861.0,0.002,20892.0,2019-07-23,3257.0,685.0,1569.0,2254.0,-164.0,,-182.0,,,-69.0,-415.0,,5096.0,-536.0,,-481.0,,-1826.0,-1826.0,-5538.0,-8381.0,319.0,-1307.0,-988.0,-89.0,,-89.0,-645.0,2957.0,1235.0,49.0,,-2001.0,33263.0,31262.0,154.0,-645.0,,337.0,70.0,3033.0,-299.0,-321.0,,-321.0,860.0,862.0,1.85,1.84
8,AXP,AXP,AMER EXPRESS CO,American Express Company,NYSE,USD,2018-09-30,Q,,2018,3,2018,3,F,10-Q,201803,12,4962,3,6199,2018-10-23,2018-10-23,NY,200 VESEY STREET,NEW YORK,NY,10285,212-640-2000,212-640-0404,200 VESEY STREET,NEW YORK,NY,10285,UNITED STATES,X1,,,,,,,,,www.americanexpress.com,IR@aexp.com,854261800,2018-10-15,,,,,,,,,,,2019-10-21,10921.0,777.0,10144.0,,,,,,8026.0,,,,8803.0,2118.0,,,,,,,,,,,,,,,,,,2118.0,464.0,1654.0,,,,,1654.0,,1654.0,,,1654.0,,1654.0,33.0,1621.0,1.9277,,,,1.9277,1.9277,1.89,1.9233,,,,1.9233,1.9233,1.88,-4.2,860.0,858.0,2118.0,1654.0,,,2018-10-23,30231.0,137229.0,,,,,,,,,167460.0,,,4295.0,,,6071.0,,,,,,,,,11266.0,21632.0,189092.0,4362.0,84906.0,,,,,,,,,,,,89268.0,55300.0,,,,,,,,23064.0,78364.0,167632.0,,171.0,12272.0,11521.0,,,-2504.0,,,21460.0,21460.0,189092.0,854.0,0.002,21460.0,2019-10-21,4911.0,1007.0,2281.0,3288.0,-88.0,,2133.0,,,-62.0,1983.0,,10182.0,-871.0,,-512.0,,-14659.0,-14659.0,1871.0,-14171.0,-227.0,-969.0,-1196.0,-849.0,,-849.0,-970.0,4876.0,1861.0,127.0,,-2001.0,33263.0,31262.0,230.0,-970.0,,322.0,76.0,5086.0,-335.0,-325.0,,-325.0,858.0,860.0,1.89,1.88
9,AXP,AXP,AMER EXPRESS CO,American Express Company,NYSE,USD,2018-12-31,Q,,2018,4,2018,4,F,10-Q,201804,12,4962,3,6199,2019-02-13,2019-02-13,NY,200 VESEY STREET,NEW YORK,NY,10285,212-640-2000,212-640-0404,200 VESEY STREET,NEW YORK,NY,10285,UNITED STATES,X1,,59000.0,,59000.0,,21078.0,PricewaterhouseCoopers LLP,Fair,www.americanexpress.com,IR@aexp.com,843368600,2019-02-04,Stephen J. Squeri,"Chief Executive Officer,Chairman and Director",Richard Petrino,Executive Vice President and Corporate Controller,Jeffrey C. Campbell,Chief Financial Officer,Charlene Barshefsky,Director,John J. Brennan,Director,2021-02-12,11308.0,834.0,10474.0,,,,,,8643.0,,,,9477.0,1831.0,,,,,,,,,,,,,,,,,,1831.0,-179.0,2010.0,,,,,2010.0,,2010.0,,,2010.0,,2010.0,35.0,1975.0,2.3681,,,,2.3681,2.3681,2.33,2.3532,,,,2.3532,2.3532,2.32,15.3499,852.0,850.0,1831.0,2010.0,,,2020-02-13,27445.0,138716.0,,,,,,,,,166161.0,,,4416.0,,,4647.0,,,,,,,,,13378.0,22441.0,188602.0,3100.0,82215.0,,,,,,,,,,,,85315.0,58423.0,,,,,,,,22574.0,80997.0,166312.0,,170.0,12218.0,12499.0,,,-2597.0,,,22290.0,22290.0,188602.0,847.0,0.0016,22290.0,2021-02-12,6921.0,1293.0,4090.0,5383.0,,,-4365.0,,,991.0,-3374.0,,8930.0,-1310.0,,-520.0,,-1931.0,-1931.0,-15854.0,-19615.0,2629.0,-148.0,2481.0,-1598.0,,-1598.0,-1324.0,5542.0,5101.0,129.0,,-5455.0,33263.0,27808.0,283.0,-1324.0,,286.0,53.0,-1252.0,-439.0,-354.0,,-354.0,856.0,859.0,2.33,2.33
